time,observed_speed,target_speed,observed_distance
1711027911.9389,0.2968847114558321,0.25,0.009999999999999787
1711027911.969725,0.17496982166381161,0.25,0.009999999999999787
1711027912.031508,0.10521352684918735,0.25,0.009999999999999787
1711027912.077698,0.18012735920326609,0.25,-0.009999999999999787
1711027912.124446,0.2996713476314866,0.25,-0.009999999999999787
1711027912.186616,0.4186661136373669,0.25,-0.009999999999999787
1711027912.233527,0.40801429177287013,0.25,-0.009999999999999787
1711027912.279488,0.3416258607603224,0.25,-0.020000000000000462
1711027912.32719,0.21972179816599993,0.25,-0.020000000000000462
1711027912.389509,0.10295002834898125,0.25,-0.020000000000000462
1711027912.420681,0.15134573647069752,0.25,-0.020000000000000462
1711027912.482667,0.2682052069707815,0.25,-0.020000000000000462
1711027912.514747,0.405235723533373,0.25,-0.040000000000000036
1711027912.577438,0.4232160345855508,0.25,-0.040000000000000036
1711027912.62467,0.3004912422463051,0.25,-0.040000000000000036
1711027912.687431,0.17889950980260477,0.25,-0.040000000000000036
1711027912.719523,0.10554336547614375,0.25,-0.040000000000000036
1711027912.782725,0.17585997763590194,0.25,-0.040000000000000036
1711027912.846411,0.3056302026500376,0.25,-0.040000000000000036
1711027912.877431,0.42197858798933946,0.25,-0.009999999999999787
1711027912.924553,0.4075971698584827,0.25,-0.009999999999999787
1711027912.970364,0.32316231497676856,0.25,-0.009999999999999787
1711027913.032694,0.2016861447649463,0.25,-0.009999999999999787
1711027913.080434,0.10417621160034152,0.25,-0.009999999999999787
1711027913.127286,0.11295500472269708,0.25,-0.009999999999999787
1711027913.173762,0.11295500472269708,0.25,-0.009999999999999787
1711027913.189271,0.21184294984894755,0.25,-0.009999999999999787
1711027913.220261,0.3496272458810013,0.25,-0.009999999999999787
1711027913.281507,0.4634113283714572,0.25,0.0
1711027913.328282,0.3957927533926724,0.25,0.0
1711027913.374895,0.27360081693370447,0.25,0.0
1711027913.422058,0.15261336244641505,0.25,0.0
1711027913.484622,0.10959497319891946,0.25,0.0
1711027913.515596,0.2120706162319499,0.25,0.0
1711027913.57838,0.35017655038310297,0.25,0.009999999999999787
1711027913.610363,0.43292142795152805,0.25,0.019999999999999574
1711027913.673066,0.3646955414794553,0.25,0.019999999999999574
1711027913.735701,0.2428649208079962,0.25,0.019999999999999574
